Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total Local,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total Foreign,Total All,persentase_lokal,persentase_asing
2021-09-30,ARKA,EQUITY,2000000000,83,0.0,1478570100.0,0,0,514152700,0,0,0,50000,1992772800.0,0,250100,0,0,1400800,0,4326300,0,0,5977200,1998750000.0,99.70095309568481,0.299046904315197
2021-09-30,ARMY,EQUITY,9006250000,50,1367638669.0,2776268954.0,4032934,0,1766644986,2064821163,279807887,2526449,14900,8261755942.0,0,488927400,0,32396000,1064158,1687200,4800,0,0,524079558,8785835500.0,94.03494911781583,5.96505088218417
2021-09-30,ARNA,EQUITY,7341430976,735,45098597.0,1108703476.0,703800,0,3306570761,209772400,43308,925400,0,4671817742.0,0,507199700,65147300,514611556,55856828,1211222358,28165282,9228200,278182010,2669613234,7341430976.0,63.636336802358024,36.363663197641976
2021-09-30,ARTA,EQUITY,446674175,1505,0.0,39777500.0,0,0,399828125,0,0,0,0,439605625.0,0,0,0,250,499500,0,6568800,0,0,7068550,446674175.0,98.41751540706377,1.582484592936227
2021-09-30,ARTI,EQUITY,7840000000,50,139003974.0,2661926286.0,739500000,0,3715915300,506831300,27948040,0,0,7791124900.0,0,110700,0,0,14590400,0,12130000,0,20669000,47500100,7838625000.0,99.39402510006538,0.6059748999346186
2021-09-30,ARTO,EQUITY,13856250000,15100,214649194.0,7037739188.0,15204497,0,1007622713,197116083,35084957,1065700,400015,8508882347.0,3024663,1262522655,37903373,2359562576,372800,140764693,36040045,834724,1247779624,5088805153,13597687500.0,62.57595158735631,37.42404841264369
2021-09-30,ASBI,EQUITY,348386472,272,21492.0,309537614.0,922,1106,23382148,0,177456,0,0,333120738.0,0,0,0,1480000,530170,0,1248828,0,0,3258998,336379736.0,99.0311550752867,0.9688449247133009
2021-09-30,ASDM,EQUITY,192000000,895,0.0,31257000.0,0,13200,17460560,2000000,0,0,0,50730760.0,0,0,0,18000,481800,0,2007200,0,0,2507000,53237760.0,95.29093635795346,4.709063642046547
2021-09-30,ASGR,EQUITY,1348780500,750,1552500.0,137560.0,0,178000,210848078,533400,128380,500,3249100,216627518.0,0,268400,7491900,47855854,1495400,4438400,9822985,3453500,5876853,80703292,297330810.0,72.85740687283635,27.142593127163646
2021-09-30,ASIA,EQUITY,2275009490,0,250000.0,16506304.0,0,0,1022881843,0,3425200,0,22006500,1065069847.0,0,334,0,1720002,13516173,0,24374843,0,1153364243,1192975595,2258045442.0,47.167777370177475,52.832222629822525
2021-09-30,ASII,EQUITY,40483553140,5500,2402647252.0,98958864.0,269012473,555650,1270696877,1236682694,20251775,35994900,23688030,5358488515.0,237389736,845866630,1578296515,1497105466,8107320,5324643123,457856144,191587477,2755214234,12896066645,18254555160.0,29.354254146612686,70.64574585338731
2021-09-30,ASJT,EQUITY,1400000000,151,30426303.0,51638133.0,1083519966,0,152172711,38447270,37470839,0,6323900,1399999122.0,0,0,0,778,100,0,0,0,0,878,1400000000.0,99.99993728571428,6.271428571428571e-05
2021-09-30,ASMI,EQUITY,8958380460,320,2686209800.0,2361987400.0,0,0,3794700560,30750500,12155500,0,33604400,8919408160.0,0,54100,0,8938800,24850600,2867500,1199800,0,1061500,38972300,8958380460.0,99.5649626606727,0.43503733932729177
